"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"ICICIBANK","EQ","13-Sep-2019","        402.70","        406.80","        414.90","        400.65","        413.70","        413.40","        407.77","   17775449","          7248327670.75","     152585","    4747206","         26.71"
"ICICIBANK","EQ","16-Sep-2019","        413.40","        408.50","        415.65","        406.75","        411.50","        412.15","        412.22","   17629622","          7267226167.75","     136395","    6544757","         37.12"
"ICICIBANK","EQ","17-Sep-2019","        412.15","        405.85","        411.90","        398.30","        400.25","        400.65","        406.05","   20793363","          8443079215.90","     196466","    8782238","         42.24"
"ICICIBANK","EQ","18-Sep-2019","        400.65","        405.45","        405.45","        396.50","        399.25","        399.35","        400.63","   18477377","          7402558812.75","     196466","    7366217","         39.87"
"ICICIBANK","EQ","19-Sep-2019","        399.35","        395.70","        395.70","        384.35","        386.30","        386.60","        388.74","   22647508","          8803902969.25","     211345","    8096537","         35.75"
"ICICIBANK","EQ","20-Sep-2019","        386.60","        389.00","        424.00","        386.65","        415.75","        417.50","        411.80","   75217723","         30974402469.65","     481110","   38738965","         51.50"
"ICICIBANK","EQ","23-Sep-2019","        417.50","        435.80","        450.00","        428.45","        442.00","        446.30","        441.55","   57490445","         25384929545.35","     453079","   29892467","         52.00"
"ICICIBANK","EQ","24-Sep-2019","        446.30","        441.50","        448.65","        433.35","        441.00","        440.90","        439.43","   26639931","         11706341826.85","     234931","   11330556","         42.53"
"ICICIBANK","EQ","25-Sep-2019","        440.90","        439.10","        440.95","        429.60","        434.80","        434.20","        434.35","   19987241","          8681434244.45","     203698","    9323965","         46.65"
"ICICIBANK","EQ","26-Sep-2019","        434.20","        439.00","        458.65","        438.55","        451.70","        451.95","        449.49","   40909369","         18388443640.45","     271788","   15647192","         38.25"
"ICICIBANK","EQ","27-Sep-2019","        451.95","        449.50","        451.85","        443.30","        450.00","        449.20","        447.40","   19432963","          8694402092.25","     173588","    7690698","         39.58"
"ICICIBANK","EQ","30-Sep-2019","        449.20","        443.30","        445.15","        431.00","        433.80","        433.70","        436.05","   27524660","         12002099399.10","     206835","   13111901","         47.64"
"ICICIBANK","EQ","01-Oct-2019","        433.70","        436.95","        443.20","        416.70","        425.60","        424.60","        431.03","   30623906","         13199943609.75","     264954","   11218749","         36.63"
"ICICIBANK","EQ","03-Oct-2019","        424.60","        424.00","        434.60","        422.30","        427.50","        427.30","        428.76","   23275379","          9979609655.10","     205747","    9379526","         40.30"
"ICICIBANK","EQ","04-Oct-2019","        427.30","        428.50","        429.30","        412.05","        413.10","        413.90","        420.96","   17952697","          7557412589.50","     170246","    4716245","         26.27"
"ICICIBANK","EQ","07-Oct-2019","        413.90","        415.10","        423.50","        411.50","        416.10","        416.10","        418.29","   21933703","          9174623042.80","     151810","    8495585","         38.73"
